"","X","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count","total_engagement","parsed_timestamp","adjusted_timestamp","parsed_date","parsed_time","post_hour"
"11",11,310668279073583,"Ward Village","Happy Holidays from all of us at Ward Village! #weareward #merrychristmas #happynewyear #happyholidays","2017-12-25T03:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1052394224900981/?type=3","310668279073583_1052394261567644",NA,8,0,1,9,2017-12-25 03:00:00,2017-12-24 17:00:00,"12/24/17","17:00","17"
"12",12,310668279073583,"Ward Village","Yes, it’s that time of the year again, and no, we’re not referring to Christmas. Our latest issue of Forward Journal is about to hit newsstands. Get a sneak peek on our blog: bit.ly/2CZIVOu. #weareward #forwardjournal","2017-12-23T03:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1052385178235219/?type=3","310668279073583_1052385808235156",NA,2,0,0,2,2017-12-23 03:00:00,2017-12-22 17:00:00,"12/22/17","17:00","17"
"13",13,310668279073583,"Ward Village","From Nobu to Piggy Smalls, find some of Honolulu’s most exciting restaurants, just steps from your front door: bit.ly/2p6J3tx. #aalii #weareward","2017-12-22T03:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1051914624948941/?type=3","310668279073583_1051914758282261",NA,416,8,14,438,2017-12-22 03:00:00,2017-12-21 17:00:00,"12/21/17","17:00","17"
"14",14,310668279073583,"Ward Village","From weapons to rocking chairs, Koa wood has been an integral part of life in Hawai‘i. That’s why local purveyors Martin & MacArthur are committed to protecting it and only source their wood from fallen trees on the Big Island: bit.ly/2B5DvRq. #weareward","2017-12-20T05:15:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1050968521710218/?type=3","310668279073583_1050968791710191",NA,7,0,0,7,2017-12-20 05:15:00,2017-12-19 19:15:00,"12/19/17","19:15","19"
"15",15,310668279073583,"Ward Village","It's holiday shopping crunch time! Ward Village is providing extended holiday shopping hours now through Saturday (9am-10pm) and special holiday hours on Christmas Eve (9am-6pm). PLUS, enjoy free valet parking daily at the old Marukai. Visit our website to learn more: bit.ly/2CYorql.","2017-12-19T00:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1050320388441698/?type=3","310668279073583_1050321071774963",NA,5,0,2,7,2017-12-19 00:00:00,2017-12-18 14:00:00,"12/18/17","14:00","14"
"16",16,310668279073583,"Ward Village","There's pizza...and then there's PIZZA. In our latest post, we're talking story with Corey Aguano of Brick Oven Pizza - Oahu in South Shore Market to catch the backstory behind one of Hawaii's favorite pies: http://bit.ly/2o5H0FR. #weareward","2017-12-14T04:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1047441888729548/?type=3","310668279073583_1047445878729149","Ward Village added 3 new photos.",9,0,1,10,2017-12-14 04:00:00,2017-12-13 18:00:00,"12/13/17","18:00","18"
"17",17,310668279073583,"Ward Village","Tis the season... for light shows! The IBM Building is lit up tonight for New Wave Holiday. There’s still time to come by and grab a drink to kick off the weekend - see you there! #weareward","2017-12-09T05:28:36+0000","video","https://www.facebook.com/WardVillage/videos/1044772712329799/","310668279073583_1044772712329799",NA,36,1,3,40,2017-12-09 05:28:36,2017-12-08 19:28:36,"12/08/17","19:28","19"
"18",18,310668279073583,"Ward Village","It’s the most wonderful time of the year! At Ward Village, we're embracing the season with a series of festive events, kicking off with New Wave Holiday this Friday night. Check out our blog for all our holiday events this season: bit.ly/2j4krPM. #weareward","2017-12-08T04:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1044192065721197/?type=3","310668279073583_1044193309054406",NA,12,0,1,13,2017-12-08 04:00:00,2017-12-07 18:00:00,"12/07/17","18:00","18"
"19",19,310668279073583,"Ward Village","From the first wave-riders to John John Florence, we’re charting Hawaii’s connection to surfing in our latest blog post: bit.ly/2Byr7KH. #weareward #surfing #hawaiihistory","2017-11-30T05:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1039821832824887/?type=3","310668279073583_1039822369491500",NA,15,0,0,15,2017-11-30 05:00:00,2017-11-29 19:00:00,"11/29/17","19:00","19"
"20",20,310668279073583,"Ward Village","“Our art is never truly finished. We want it to evolve into something even better and more beautiful.” —Greg Lee, designer of Anaha’s living wall. Read the full interview here: bit.ly/2BnIrSq. #anaha #livingwall #weareward","2017-11-27T06:15:00+0000","video","https://www.facebook.com/WardVillage/videos/1038279092979161/","310668279073583_1038279092979161",NA,55,2,22,79,2017-11-27 06:15:00,2017-11-26 20:15:00,"11/26/17","20:15","20"
"21",21,310668279073583,"Ward Village","While we love turkey as much as anyone, we take a lot of pride in celebrating Thanksgiving our own way. Learn about four unique ways Hawaii celebrates Thanksgiving: bit.ly/2AoP0XO. #weareward #poi #happythanksgiving","2017-11-23T04:30:01+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1036204663186604/?type=3","310668279073583_1036205453186525",NA,5,0,1,6,2017-11-23 04:30:01,2017-11-22 18:30:01,"11/22/17","18:30","18"
"22",22,310668279073583,"Ward Village","Ready, set, shop! Get the lowdown on Ward Village’s Black Friday shopping deals and learn how shopping small can make a big difference in your community: bit.ly/2iEhiTE. #weareward","2017-11-22T05:30:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1035791369894600/?type=3","310668279073583_1035791529894584","Ward Village added 3 new photos.",5,0,1,6,2017-11-22 05:30:00,2017-11-21 19:30:00,"11/21/17","19:30","19"
"23",23,310668279073583,"Ward Village","Starting today, Santa’s Beach House is open through the holidays! Bring the keiki and make merry memories this holiday season. Plus, pet nights are every Tuesday! Check out our website for full details: bit.ly/2zSlVkl. #weareward #santasbeachhouse","2017-11-18T20:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1033668380106899/?type=3","310668279073583_1033668876773516",NA,23,2,1,26,2017-11-18 20:00:00,2017-11-18 10:00:00,"11/18/17","10:00","10"
"24",24,310668279073583,"Ward Village","We're highlighting some next-level deliciousness in our latest blog post. Maile Sengoura of Mailes Thai Bistro shares her recipe for this mouthwatering Glass Beef Noodle Salad. Enjoy! bit.ly/2z339cU #weareward #thaifood #recipes","2017-11-17T04:30:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1033129916827412/?type=3","310668279073583_1033130310160706",NA,2,0,0,2,2017-11-17 04:30:00,2017-11-16 18:30:00,"11/16/17","18:30","18"
"25",25,310668279073583,"Ward Village","When completed, Ae’o will mark a new milestone in Ward Village. Learn more about this stunning tower and its latest construction updates on our blog: bit.ly/2iVm1Qa. #weareward #aeo #wholefoodsmarket","2017-11-16T04:30:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1031924466947957/?type=3","310668279073583_1031924566947947",NA,26,0,6,32,2017-11-16 04:30:00,2017-11-15 18:30:00,"11/15/17","18:30","18"
"26",26,310668279073583,"Ward Village","Visiting Ward Village this weekend? We got your parking covered. Every Friday, Saturday & Sunday now through Dec. 15, we offer FREE valet parking in front of the former Marukai. And starting Dec. 15, free valet is available daily through the holidays! Check out our website for full details: http://bit.ly/2hqnLEr","2017-11-11T00:40:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1029621730511564/?type=3","310668279073583_1029621847178219",NA,264,7,21,292,2017-11-11 00:40:00,2017-11-10 14:40:00,"11/10/17","14:40","14"
"27",27,310668279073583,"Ward Village","It's the one year anniversary of South Shore Market! Visit our blog to hear from merchants as they share their thoughts on this special milestone: bit.ly/2iFAyPH. Celebrate by joining us on November 10th for New Wave Friday, featuring live music, shopping exclusives and more! #weareward","2017-11-09T01:30:01+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1028625307277873/?type=3","310668279073583_1028628170610920","Ward Village added 4 new photos.",23,0,6,29,2017-11-09 01:30:01,2017-11-08 15:30:01,"11/08/17","15:30","15"
"28",28,310668279073583,"Ward Village","The holidays are just around the corner - get your shopping done early this weekend for Festival of Giving. Enjoy exclusive offers AND help local non-profits & schools. A $10 donation gets you an exclusive passport of special deals, prizes, free gift wrapping and more!","2017-11-07T02:00:23+0000","event","https://www.facebook.com/events/178063409415961/","310668279073583_1027504890723248","Ward Village shared their event.",6,0,0,6,2017-11-07 02:00:23,2017-11-06 16:00:23,"11/06/17","16:00","16"
"29",29,310668279073583,"Ward Village","Calling all movie lovers and film buffs, Hawaii International Film Festival is back in town and they've brought the magic of the movies with them: bit.ly/2z9dAL3. #weareward #courtyardcinema #hiff","2017-11-04T02:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1025382804268790/?type=3","310668279073583_1025382850935452",NA,4,0,1,5,2017-11-04 02:00:00,2017-11-03 16:00:00,"11/03/17","16:00","16"
"30",30,310668279073583,"Ward Village","We recently celebrated the release of an inspiring new book, Mālama Honua, which chronicles the journeys of Hōkūle‘a. Catch the scoop behind the opening party here: bit.ly/2yn4gUb.","2017-11-02T05:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1024872057653198/?type=3","310668279073583_1024872254319845",NA,8,0,1,9,2017-11-02 05:00:00,2017-11-01 19:00:00,"11/01/17","19:00","19"
"31",31,310668279073583,"Ward Village","We recently celebrated the release of an inspiring new book, Mālama Honua, which chronicles the journeys of Hōkūle‘a. Catch the scoop behind the opening party here: bit.ly/2iSmlCZ. #weareward #hokulea","2017-11-01T01:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1024187811054956/?type=3","310668279073583_1024187984388272",NA,3,0,2,5,2017-11-01 01:00:00,2017-10-31 15:00:00,"10/31/17","15:00","15"
"32",32,310668279073583,"Ward Village","It’s almost time for Halloween! Join us for “Rock, Walk and Wag” at Ward Centre on Oct. 31 with fun activities for pets & safe trick-or-treating for keiki. Visit our event page to learn more: bit.ly/2zWVmtP. #weareward #halloween #rockwalkwag","2017-10-28T21:49:09+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1022740294533041/?type=3","310668279073583_1022741064532964","Ward Village added 2 new photos.",56,1,2,59,2017-10-28 21:49:09,2017-10-28 11:49:09,"10/28/17","11:49","11"
"33",33,310668279073583,"Ward Village","A new chapter in the history of Ward Village unfolded recently when Anaha, our second residential tower, officially opened. Take a closer look inside this milestone: bit.ly/2yWsEuS. #anaha #weareward","2017-10-28T04:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1021804727959931/?type=3","310668279073583_1021806524626418",NA,19,1,2,22,2017-10-28 04:00:00,2017-10-27 18:00:00,"10/27/17","18:00","18"
"34",34,310668279073583,"Ward Village","A big round of applause to three locally-owned Ward Village merchants who scored big at the recent Ho’okela Awards! Kudos and aloha to Best New Retail Business of the Year POSHd, Retailer of the Year Glenn Hirata from T&C Surf and Resort Retail Business of the Year Martin & MacArthur.  Congratulations on all your success! #weareward #shoplocal","2017-10-27T05:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1021792154627855/?type=3","310668279073583_1021791111294626","Ward Village added 3 new photos.",7,0,0,7,2017-10-27 05:00:00,2017-10-26 19:00:00,"10/26/17","19:00","19"
"35",35,310668279073583,"Ward Village","Festival of Giving is a 3-day shopping extravaganza that gives local nonprofits the chance to raise funds for their organization. Enjoy special shopping offers, prizes, and a chance to win a trip for two on Alaska Airlines! Visit wardvillage.com/events/festival-of-giving for full details.","2017-10-27T02:54:04+0000","event","https://www.facebook.com/events/178063409415961/","310668279073583_178063409415961","Ward Village added an event.",0,0,0,0,2017-10-27 02:54:04,2017-10-26 16:54:04,"10/26/17","16:54","16"
"36",36,310668279073583,"Ward Village","New Wave Friday is a fun family-friendly event featuring activities, shopping exclusives, food, libations, live entertainment & more. Visit wardvillage.com/events/new-wave-friday for full details.","2017-10-27T02:51:06+0000","event","https://www.facebook.com/events/2027928244093964/","310668279073583_2027928244093964","Ward Village added an event.",4,0,0,4,2017-10-27 02:51:06,2017-10-26 16:51:06,"10/26/17","16:51","16"
"37",37,310668279073583,"Ward Village","The film traces the entrepreneurial hitmaker behind POI E, Dalvanius Prime, who, in the 1980s, convinced the Patea Maori Club to perform the song. The group found themselves on an unexpected roller coaster ride as the song climbed the charts. 

This special screening is part of the HIFF Fall Festival.
$14 General Public
$12 Student/Senior/Military
$10 HIFF Members","2017-10-27T02:45:47+0000","event","https://www.facebook.com/events/1814130382210503/","310668279073583_1814130382210503","Ward Village added an event.",8,0,0,8,2017-10-27 02:45:47,2017-10-26 16:45:47,"10/26/17","16:45","16"
"38",38,310668279073583,"Ward Village","Join us for a family-fun Halloween event at Ward Centre and safe trick-or-treating throughout Ward Village. Visit wardvillage.com/halloween for full details!

""Rock, Walk & Wag"" Event at Ward Centre 
A Halloween event to benefit Hawaiian Humane Society. Enjoy keiki and pet activites throughout Ward Centre at participating merchants. 5pm to 8pm

Trick-or-Treat Street at Ward Village 
Safe trick-or-treating throughout Ward Village. Look for the window sign at participating merchants. 6pm to 8pm

https://www.wardvillage.com/events/halloween-at-ward-village","2017-10-27T02:31:37+0000","event","https://www.facebook.com/events/127119407972816/","310668279073583_127119407972816","Ward Village added an event.",6,0,0,6,2017-10-27 02:31:37,2017-10-26 16:31:37,"10/26/17","16:31","16"
"39",39,310668279073583,"Ward Village","Made your lunch plans yet? Stop by the newly opened Nalu Health Bar & Café, now at South Shore Market! Smoothies, wraps, acai bowls – they’ve got your healthy cravings covered. Check out our profile of Nalu on the blog: bit.ly/2yP12b9. #weareward #southshoremarket","2017-10-24T20:47:30+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1020692258071178/?type=3","310668279073583_1020692258071178",NA,78,1,3,82,2017-10-24 20:47:30,2017-10-24 10:47:30,"10/24/17","10:47","10"
"40",40,310668279073583,"Ward Village","200 years after its invention, the bicycle is once again revolutionizing the way we commute. Thanks to bike-sharing models like Biki Hawaii, the bike is back: bit.ly/2z3Zyed. #weareward #gobiki","2017-10-24T05:00:02+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1020329804774090/?type=3","310668279073583_1020329804774090",NA,231,15,14,260,2017-10-24 05:00:02,2017-10-23 19:00:02,"10/23/17","19:00","19"
"41",41,310668279073583,"Ward Village","There's nothing better than a sunny stroll with loved ones. Happy Sunday! #weareward #zanemural","2017-10-22T19:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1018824491591288/?type=3","310668279073583_1018825444924526",NA,3,0,0,3,2017-10-22 19:00:00,2017-10-22 09:00:00,"10/22/17","09:00","09"
"42",42,310668279073583,"Ward Village","Go ahead, take your best shot. We're highlighting the most photo-worthy backdrops in Ward Village in our latest blog post: bit.ly/2xVJj2s #weareward #zhanwang #anaha","2017-10-21T04:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1018823261591411/?type=3","310668279073583_1018823381591399",NA,11,0,2,13,2017-10-21 04:00:00,2017-10-20 18:00:00,"10/20/17","18:00","18"
"43",43,310668279073583,"Ward Village","This blustery weather has us craving some down-home comfort food. Read our profile of Andrew and Mame Le from Piggy Smalls and we might just see you there tonight: bit.ly/2gjqFqj. #weareward","2017-10-18T02:30:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1017207568419647/?type=3","310668279073583_1017208908419513",NA,2,0,1,3,2017-10-18 02:30:00,2017-10-17 16:30:00,"10/17/17","16:30","16"
"44",44,310668279073583,"Ward Village","Join us to celebrate the Malama Honua book release and hear from crew members of the Polynesian Voyaging Society. We will also have photographer John Bilderback with us to share his work with Malama Honua. Snacks & drinks on us! 

6:00pm - Doors open
6:30pm - Entertainment by Paula Fuga
7:15pm - Short film by Na'alehu
7:30pm - John Bilderback & the Hokule'a Crew

Tickets required for entry. Admission is free. For more information, call 808-593-7502.","2017-10-18T01:44:43+0000","event","https://www.facebook.com/events/124664958243183/","310668279073583_124664958243183","Ward Village added an event.",9,0,0,9,2017-10-18 01:44:43,2017-10-17 15:44:43,"10/17/17","15:44","15"
"45",45,310668279073583,"Ward Village","Did you hear the news? Safer piers, renovated slips & strengthened security are part of our planned renovation of Kewalo Harbor. Read more on our blog: bit.ly/2zlMKwu. #weareward #kewaloharbor","2017-10-14T02:00:01+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1015219941951743/?type=3","310668279073583_1015219941951743",NA,7,0,2,9,2017-10-14 02:00:01,2017-10-13 16:00:01,"10/13/17","16:00","16"
"46",46,310668279073583,"Ward Village","#TBT to last month's epic Kona Nui Nights - an amazing evening of song, hula, keiki, and joy. There's still time to reserve your tickets for this month's event; RSVP today: http://bit.ly/2gfyEbp. #weareward #konanuinghts","2017-10-13T05:19:52+0000","photo","https://www.facebook.com/WardVillage/photos/a.1014781188662285.1073741857.310668279073583/1014781745328896/?type=3","310668279073583_1014786685328402","Ward Village shared their album.",4,0,0,4,2017-10-13 05:19:52,2017-10-12 19:19:52,"10/12/17","19:19","19"
"47",47,310668279073583,"Ward Village","Sink your teeth into the best pau hana in town! Join us this Friday the 13th at Ward Village for New Wave Friday: bit.ly/2xywhb7. #weareward #newwavefridays #southshoremarket","2017-10-11T22:00:01+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1014212115385859/?type=3","310668279073583_1014212115385859",NA,13,0,1,14,2017-10-11 22:00:01,2017-10-11 12:00:01,"10/11/17","12:00","12"
"48",48,310668279073583,"Ward Village","Meet the man behind Forward Journal's latest cover artwork: Nick Kuchar Art & Design Co.. We talk to Nick on our blog about his inspiration and love for Hawaii: bit.ly/2y5DDSh. #weareward #forwardjournal","2017-10-11T01:52:19+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1013869448753459/?type=3","310668279073583_1013869448753459",NA,0,0,0,0,2017-10-11 01:52:19,2017-10-10 15:52:19,"10/10/17","15:52","15"
"49",49,310668279073583,"Ward Village","Get into the spooky spirit with this month’s Courtyard Cinema screening. Several kids disappear on a trip, and one returns in the next few days -- as an adult. Reserve your tickets! #weareward #courtyardcinema #hiff","2017-10-09T23:13:33+0000","event","https://www.facebook.com/events/2002975906626310/","310668279073583_1013300442143693","Ward Village shared their event.",0,0,0,0,2017-10-09 23:13:33,2017-10-09 13:13:33,"10/09/17","13:13","13"
"50",50,310668279073583,"Ward Village","On October 7th and 8th, the IBM Building is lit up in red in honor of the National Fallen Firefighters Memorial Weekend. #weareward","2017-10-08T22:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1012419548898449/?type=3","310668279073583_1012419665565104",NA,18,0,0,18,2017-10-08 22:00:00,2017-10-08 12:00:00,"10/08/17","12:00","12"
"51",51,310668279073583,"Ward Village","For our Smarter Living series, we recently hosted design visionaries Graham Hill & Amanda Dameron to explore the ways design can transform our homes: bit.ly/2wDgZ0k. #weareward #wardvillage #smarterlivingseries","2017-10-07T20:30:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1012321515574919/?type=3","310668279073583_1012321552241582",NA,1,0,0,1,2017-10-07 20:30:00,2017-10-07 10:30:00,"10/07/17","10:30","10"
"52",52,310668279073583,"Ward Village","From Ossipoff to Anaha, we explore the arc of architecture within Ward Village in our latest blog: bit.ly/2xCPA2n. #anaha #waiea #vladimirossipoff #weareward","2017-09-30T22:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1008337522639985/?type=3","310668279073583_1008338132639924",NA,15,0,4,19,2017-09-30 22:00:00,2017-09-30 12:00:00,"09/30/17","12:00","12"
"53",53,310668279073583,"Ward Village","Pizza and Thai, oh my! We are thrilled to welcome Brick Oven Pizza Hawaii and Maile's Thai to the neighborhood. Get all the latest updates on dining and shopping on our blog: bit.ly/2xyhLiB. #onoeats #weareward","2017-09-30T00:00:00+0000","video","https://www.facebook.com/WardVillage/videos/1008335872640150/","310668279073583_1008335872640150",NA,15,0,2,17,2017-09-30 00:00:00,2017-09-29 14:00:00,"09/29/17","14:00","14"
"54",54,310668279073583,"Ward Village","Enjoy a complimentary yoga class in the courtyard of the IBM building.

Free self-parking is available across the street in the Ward Village Shops parking garage or in the Ward Centre Parking garage. 

Yoga will be held across the street in Kolowalu Park on the following dates:
Thursday, Oct. 12
Thursday, Nov. 9
Thursday, Nov. 16
Thursday, Nov. 23
Thursday, Nov. 30
Thursday, Dec. 7
Thursday, Dec. 14
Thursday, Dec. 21
Thursday, Dec. 28","2017-09-28T02:08:03+0000","event","https://www.facebook.com/events/1937594693174881/","310668279073583_1937594693174881","Ward Village added an event.",8,1,0,9,2017-09-28 02:08:03,2017-09-27 16:08:03,"09/27/17","16:08","16"
"55",55,310668279073583,"Ward Village","Located in the heart of Honolulu, Kaka‘ako Farmers Market brings the abundance of the country into the heart of the city.","2017-09-28T02:02:32+0000","event","https://www.facebook.com/events/1443388302405089/","310668279073583_1443388302405089","Ward Village added an event.",12,0,0,12,2017-09-28 02:02:32,2017-09-27 16:02:32,"09/27/17","16:02","16"
"56",56,310668279073583,"Ward Village","Join us for family-friendly activities, shopping exclusives, ono food, libations, and live music by Pena Boy & Kalena Delima from Kapena.

Free parking is available in the T.J. Maxx Parking Garage or at Ward Centre.

Visit our website for more info:
http://bit.ly/2y9TfFn","2017-09-28T01:59:30+0000","event","https://www.facebook.com/events/463262180706991/","310668279073583_463262180706991","Ward Village added an event.",27,0,0,27,2017-09-28 01:59:30,2017-09-27 15:59:30,"09/27/17","15:59","15"
"57",57,310668279073583,"Ward Village","Music by Karen Keawehawaii (Hoku Award Winner)

Hula by Tracie & Keawe Lopes and Ka La Onohi Mai o Ha‘eha‘e

Wednesday, October 18th, 2017
Ward Village Courtyard
1240 Ala Moana Blvd.

Free parking is available across the street in the T.J. Maxx Parking Garage or at Ward Centre.

Tickets are free, but must be reserved: 
http://bit.ly/KonaNuiOct2017","2017-09-28T01:57:02+0000","event","https://www.facebook.com/events/304495900049125/","310668279073583_304495900049125","Ward Village added an event.",14,0,0,14,2017-09-28 01:57:02,2017-09-27 15:57:02,"09/27/17","15:57","15"
